60,1020406,Char Thmei,"E103° 07'' 19.808'"","N13° 28'' 29.851'"",Village,1,102,10204,1020406,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
61,1020407,Ph'av Thmei,"E103° 08'' 02.239'"","N13° 28'' 33.030'"",Village,1,102,10204,1020407,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
62,1020408,Ta Sal,"E103° 09'' 46.348'"","N13° 28'' 57.355'"",Village,1,102,10204,1020408,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
63,10205,Koy Maeng,"E103° 05'' 02.877'"","N13° 32'' 59.518'"",Commune,1,102,10205,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
64,1020501,Koy Maeng,"E103° 05'' 16.213'"","N13° 33'' 03.654'"",Village,1,102,10205,1020501,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
65,1020502,Sdei Leu,"E103° 04'' 03.370'"","N13° 32'' 40.449'"",Village,1,102,10205,1020502,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
66,1020503,Phlov Siem,"E103° 04'' 45.752'"","N13° 32'' 55.156'"",Village,1,102,10205,1020503,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
67,1020504,Ta Nong,"E103° 05'' 08.860'"","N13° 33'' 08.153'"",Village,1,102,10205,1020504,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
68,1020505,Angkar Khmau,"E103° 06'' 33.496'"","N13° 33'' 20.966'"",Village,1,102,10205,1020505,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
69,1020506,Kasang Thmei,"E103° 07'' 03.254'"","N13° 33'' 34.596'"",Village,1,102,10205,1020506,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
70,1020507,Stueng Chas,"E103° 05'' 59.479'"","N13° 33'' 16.185'"",Village,1,102,10205,1020507,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
71,1020508,Sdei Kraom,"E103° 04'' 25.564'"","N13° 32'' 47.062'"",Village,1,102,10205,1020508,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
72,10206,Ou Prasat,"E103° 00'' 51.440'"","N13° 27'' 25.307'"",Commune,1,102,10206,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
73,1020601,Phnum Thum Tboung,"E103° 00'' 46.521'"","N13° 26'' 12.585'"",Village,1,102,10206,1020601,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
74,1020602,Phnum Prasat,"E103° 00'' 56.361'"","N13° 26'' 40.741'"",Village,1,102,10206,1020602,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
75,1020603,Phnum Thum Cheung,"E103° 00'' 43.764'"","N13° 26'' 48.645'"",Village,1,102,10206,1020603,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
76,1020604,Chamkar Louk,"E103° 00'' 22.388'"","N13° 26'' 53.031'"",Village,1,102,10206,1020604,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
77,1020605,Phnum Thum Thmei,"E103° 00'' 59.507'"","N13° 27'' 10.437'"",Village,1,102,10206,1020605,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
78,1020606,Anlong Sdei,"E103° 01'' 17.893'"","N13° 26'' 57.861'"",Village,1,102,10206,1020606,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
79,1020607,Kouk Thlong Kaeut,"E103° 02'' 05.432'"","N13° 26'' 53.191'"",Village,1,102,10206,1020607,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
80,1020608,Kouk Thlong Kandal,"E103° 01'' 38.472'"","N13° 26'' 53.468'"",Village,1,102,10206,1020608,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
81,1020609,Ou Snguot,"E103° 00'' 42.488'"","N13° 27'' 50.679'"",Village,1,102,10206,1020609,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
82,1020610,Ou Prasat,"E102° 59'' 50.622'"","N13° 28'' 07.608'"",Village,1,102,10206,1020610,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
83,1020611,Kouk Ampil,"E103° 00'' 03.248'"","N13° 28'' 28.401'"",Village,1,102,10206,1020611,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
84,1020612,Ra Chamkar Chek,"E103° 00'' 42.631'"","N13° 27'' 29.272'"",Village,1,102,10206,1020612,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
85,1020613,Pou Rieng,"E103° 00'' 21.747'"","N13° 28'' 46.605'"",Village,1,102,10206,1020613,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
86,1020614,Rung Krabau,"E103° 00'' 10.547'"","N13° 29'' 22.207'"",Village,1,102,10206,1020614,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
87,10207,Phnum Touch,"E103° 01'' 03.073'"","N13° 24'' 23.462'"",Commune,1,102,10207,,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
88,1020701,Phnum Touch Tboung,"E103° 01'' 11.261'"","N13° 24'' 21.933'"",Village,1,102,10207,1020701,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
89,1020702,Phnum Touch Cheung,"E103° 01'' 08.028'"","N13° 24'' 47.350'"",Village,1,102,10207,1020702,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
90,1020703,Thnal Bat,"E103° 01'' 02.486'"","N13° 25'' 38.972'"",Village,1,102,10207,1020703,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
91,1020704,Ou Nhor,"E103° 01'' 18.629'"","N13° 23'' 50.659'"",Village,1,102,10207,1020704,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
92,1020705,Boeng Tras,"E102° 59'' 58.091'"","N13° 26'' 00.782'"",Village,1,102,10207,1020705,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
93,1020706,Monourom,"E103° 00'' 22.079'"","N13° 24'' 45.491'"",Village,1,102,10207,1020706,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
94,1020707,Paoy Ta Sek,"E103° 02'' 39.396'"","N13° 23'' 37.233'"",Village,1,102,10207,1020707,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
95,1020708,Prey Totueng,"E103° 02'' 05.283'"","N13° 25'' 45.874'"",Village,1,102,10207,1020708,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
96,1020709,Boeng Reang,"E103° 00'' 36.909'"","N13° 24'' 28.430'"",Village,1,102,10207,1020709,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
97,1020710,Voat Thmei,"E103° 01'' 05.557'"","N13° 25'' 09.096'"",Village,1,102,10207,1020710,2025-07-30 09:48:26.543142,2025-07-30 09:48:26.543142
